businessCategory,carLicense,cn,departmentNumber,description,destinationIndicator,displayName,distinguishedName,employeeNumber,employeeType,facsimileTelephoneNumber,givenName,homePhone,homePostalAddress,initials,internationaliSDNNumber,l,mail,manager,mobile,o,ou,pager,physicalDeliveryOfficeName,postOfficeBox,postalAddress,postalCode,preferredDeliveryMethod,preferredLanguage,registeredAddress,roomNumber,secretary,seeAlso,sn,st,street,telephoneNumber,teletexTerminalIdentifier,telexNumber,title,uid,objectClass,memberOf,objectSid,objectguid,sAMAccountName,primaryGroupID,primaryGroupDN,accountFlags,department,msNPCallingStationID,msRADIUSFramedRoute,msNPAllowDialin,msRADIUSCallbackNumber,msRADIUSFramedIPAddress,mailNickname,homeMDB,msExchHideFromAddressLists,msRTCSIP-UserEnabled,SipAddress,RegistrarPool,LyncPinSet,LyncPinLockedOut,pwdLastSet,msDS-PrincipalName,userPrincipalName,lastLogonTimestamp
,,Carolyne.Hofstetter,,,,"Carolyne, Hofstetter (Contractor)","CN=Carolyne.Hofstetter,OU=Usa,OU=NA,DC=abc,DC=local",15431650,,,Carolyne,,,,,,,,,,,,,,,,,,,,,,Hofstetter,,,,,,Contractor - LTI,,top,,S-1-5-21-1622704856-2119577735-116698500-1239,{acd1135e-833c-4085-b406-36f159b9f2cc},Carolyne.Hofstetter,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Carolyne.Hofstetter,,
,,Celestina.Heitman,J,,,Celestina S Heitman,"CN=Celestina.Heitman,OU=Usa,OU=NA,DC=abc,DC=local",837099,,,Celestina,,,,,,cheitman@abccorp.com,,,,,,,,,,,,,,,,Heitman,"Orlando, FL",,,,,Production Support - TR,,top,,S-1-5-21-1622704856-2119577735-116698500-1142,{9f1a85be-4aaf-4230-8ac0-91362e8d6c07},Celestina.Heitman,513,,Normal User Account,J Shift,,,Not Set,,,,,,,,,,,0,ABC\Celestina.Heitman,,
,,Chauncey.Hix,,,,Chauncey H Hix,"CN=Chauncey.Hix,OU=Usa,OU=NA,DC=abc,DC=local",369177,,,Chauncey,,,,,,chix@abccorp.com,,,,,,,,,,,,,,,,Hix,"Los Angeles, CA",,,,,A2 Mill 4 BLDG,,top,,S-1-5-21-1622704856-2119577735-116698500-1165,{4f6e468a-ccd8-4be6-be74-8eb6cf5204ea},Chauncey.Hix,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,0,ABC\Chauncey.Hix,,
,,Cheree.Peden,K,,,Cheree M Peden,"CN=Cheree.Peden,OU=Usa,OU=NA,DC=abc,DC=local",730150,,,Cheree,,,,,,cpeden@abccorp.com,,,,,,,,,,,,,,,,Peden,"Chicago, IL",,,,,Flexible Packaging K,,top,,S-1-5-21-1622704856-2119577735-116698500-1163,{cb63c1c6-af7d-4077-95cd-55d898e95e7c},Cheree.Peden,513,,Normal User Account,K Shift,,,Not Set,,,,,,,,,,,0,ABC\Cheree.Peden,,
,,Cornelia.Wojtowicz,I,,,Cornelia M Wojtowicz,"CN=Cornelia.Wojtowicz,OU=Usa,OU=NA,DC=abc,DC=local",679912,,,Cornelia,,,,,,cwojtowicz@abccorp.com,,,,,,,,,,,,,,,,Wojtowicz,"Denver, CO",,,,,Ph 11 Pkg Team Member,,top,,S-1-5-21-1622704856-2119577735-116698500-1140,{8fb2c6ba-087c-422c-8b70-1b288410a44d},Cornelia.Wojtowicz,513,,Normal User Account,I Shift,,,Not Set,,,,,,,,,,,0,ABC\Cornelia.Wojtowicz,,
,,Daine.Brunt,PAYBN,,,Daine  Brunt,"CN=Daine.Brunt,OU=Usa,OU=NA,DC=abc,DC=local",938454,,,Daine,,,,,,dbrunt@abccorp.com,,,,,,,,,,,,,,,,Brunt,"Charlotte, NC",,,,,Cdn. HR Coordinator,,top,,S-1-5-21-1622704856-2119577735-116698500-1136,{8949a900-7787-4d81-9c17-dc0333c9a091},Daine.Brunt,513,,Normal User Account,Payroll and Benefits,,,Not Set,,,,,,,,,,,0,ABC\Daine.Brunt,,
,,Damaris.Garon,,,,Damaris P Garon,"CN=Damaris.Garon,OU=Usa,OU=NA,DC=abc,DC=local",154990,,,Damaris,,,,,,dgaron@abccorp.com,,,,,,,,,,,,,,,,Garon,"Washington, DC",,,,,IT Tech Support Manager,,top,,S-1-5-21-1622704856-2119577735-116698500-1201,{868db091-f9c0-4322-aa4a-d85de4d48f8c},Damaris.Garon,513,,Normal User Account,INFORMATION TECHNOLOGY,,,Not Set,,,,,,,,,,,0,ABC\Damaris.Garon,,
,,Dannie.Hoda,,,,Dannie  Hoda,"CN=Dannie.Hoda,OU=Usa,OU=NA,DC=abc,DC=local",121394,,,Dannie,,,,,,dhoda@abccorp.com,,,,,,,,,,,,,,,,Hoda,"Oklahoma City, OK",,,,,Sr. Payroll Manager,,top,,S-1-5-21-1622704856-2119577735-116698500-1178,{c67bcf5d-1cdf-4bb2-b30a-19fd6c0d618e},Dannie.Hoda,513,,Normal User Account,Human Resources,,,Not Set,,,,,,,,,,,0,ABC\Dannie.Hoda,,
,,Dede.Hardman,,,,Dede J Hardman,"CN=Dede.Hardman,OU=Usa,OU=NA,DC=abc,DC=local",314178,,,Dede,,,,,,dhardman@abccorp.com,,,,,,,,,,,,,,,,Hardman,"Phoenix, AZ",,,,,Maintenance,,top,"CN=Niagara Falls,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1159,{26e3d7c9-3cf7-4651-8342-d13a469a6b81},Dede.Hardman,513,,Normal User Account,Niagara Falls,,,Not Set,,,,,,,,,,,0,ABC\Dede.Hardman,,
,,Edgardo.Monte,SLGH,,,Edgardo P Monte,"CN=Edgardo.Monte,OU=Usa,OU=NA,DC=abc,DC=local",460140,,,Edgardo,,,,,,emonte@abccorp.com,,,,,,,,,,,,,,,,Monte,"Phoenix, AZ",,,,,Sr Account Manager,,top,,S-1-5-21-1622704856-2119577735-116698500-1199,{24e35033-b979-490b-b311-2ac3c734e6a0},Edgardo.Monte,513,,Normal User Account,Headquarters,,,Not Set,,,,,,,,,,,0,ABC\Edgardo.Monte,,
,,Eduardo.Hillary,,,,Ed N Hillary,"CN=Eduardo.Hillary,OU=Usa,OU=NA,DC=abc,DC=local",516112,,,Eduardo,,,,,,ehillary@abccorp.com,,,,,,,,,,,,,,,,Hillary,"Nashville, TN",,,,,B1 Puff,,top,,S-1-5-21-1622704856-2119577735-116698500-1202,{0b20502e-c6b0-4f12-8006-a44bb3fa75b9},Eduardo.Hillary,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,0,ABC\Eduardo.Hillary,,
,,Elden.Zheng,,,,"Elden, Zheng (Contractor)","CN=Elden.Zheng,OU=Usa,OU=NA,DC=abc,DC=local",15430043,,,Elden,,,,,,,,,,,,,,,,,,,,,,Zheng,,,,,,Sales Director,,top,,S-1-5-21-1622704856-2119577735-116698500-1251,{67f75605-11c6-4c65-814b-54c661c9c373},Elden.Zheng,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Elden.Zheng,,
,,Elia.Pinette,,,,Elia  Pinette,"CN=Elia.Pinette,OU=Usa,OU=NA,DC=abc,DC=local",730322,,,Elia,,,,,,epinette@abccorp.com,,,,,,,,,,,,,,,,Pinette,"Washington, DC",,,,,Foberg,,top,,S-1-5-21-1622704856-2119577735-116698500-1174,{55ddc284-678f-40f6-8fca-ba9a77edf7d4},Elia.Pinette,513,,Normal User Account,WNA-Production,,,Not Set,,,,,,,,,,,0,ABC\Elia.Pinette,,
,,Elna.Pyper,,,,"Elna, Pyper (Contractor)","CN=Elna.Pyper,OU=Usa,OU=NA,DC=abc,DC=local",15431265,,,Elna,,,,,,,,,,,,,,,,,,,,,,Pyper,,,,,,Jonesboro,,top,,S-1-5-21-1622704856-2119577735-116698500-1231,{d04086fd-5349-41bb-8837-0f991c23cb2f},Elna.Pyper,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Elna.Pyper,,
,,Elyse.Funkhouser,MAINI,,,Elyse C Funkhouser,"CN=Elyse.Funkhouser,OU=Usa,OU=NA,DC=abc,DC=local",101636,,,Elyse,,,,,,efunkhouser@abccorp.com,,,,,,,,,,,,,,,,Funkhouser,"Austin, TX",,,,,Maintenance Tech III,,top,,S-1-5-21-1622704856-2119577735-116698500-1167,{2605a3ef-f0a4-458e-ad6f-60f27b18bd42},Elyse.Funkhouser,513,,Normal User Account,Maintenance I,,,Not Set,,,,,,,,,,,0,ABC\Elyse.Funkhouser,,
,,Emerson.Hommel,MTJ,,,Em D Hommel,"CN=Emerson.Hommel,OU=Usa,OU=NA,DC=abc,DC=local",559266,,,Emerson,,,,,,ehommel@abccorp.com,,,,,,,,,,,,,,,,Hommel,"Nashville, TN",,,,,Maintenance Apprentice,,top,,S-1-5-21-1622704856-2119577735-116698500-1210,{59cb8e77-fb3d-4d91-bbb9-e994c623e18b},Emerson.Hommel,513,,Normal User Account,Maintenance J,,,Not Set,,,,,,,,,,,0,ABC\Emerson.Hommel,,
,,Evan.Porras,,,,Evan D Porras,"CN=Evan.Porras,OU=Usa,OU=NA,DC=abc,DC=local",422688,,,Evan,,,,,,eporras@abccorp.com,,,,,,,,,,,,,,,,Porras,"Washington, DC",,,,,Floater,,top,,S-1-5-21-1622704856-2119577735-116698500-1203,{78819390-1e99-42b7-a857-648b04d9ef2a},Evan.Porras,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,0,ABC\Evan.Porras,,
,,Evelina.Sharper,,,,Evelina L Sharper,"CN=Evelina.Sharper,OU=Usa,OU=NA,DC=abc,DC=local",463719,,,Evelina,,,,,,esharper@abccorp.com,,,,,,,,,,,,,,,,Sharper,"Austin, TX",,,,,Associate General Counsel,,top,"CN=HR team Access,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1125,{f0f5fcf9-d97f-43ab-83e0-7683af4d09c3},Evelina.Sharper,513,,Normal User Account,Legal,,,Not Set,,,,,,,,,,,0,ABC\Evelina.Sharper,,
,,Flavia.Hammers,,,,"Flavia, Hammers (Contractor)","CN=Flavia.Hammers,OU=Usa,OU=NA,DC=abc,DC=local",15431035,,,Flavia,,,,,,,,,,,,,,,,,,,,,,Hammers,,,,,,Contractor - Aptean,,top,,S-1-5-21-1622704856-2119577735-116698500-1224,{3762af5a-f547-4d27-b063-78a3be5794a4},Flavia.Hammers,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Flavia.Hammers,,
,,Foster.Grabowski,,,,Foster H Grabowski,"CN=Foster.Grabowski,OU=Usa,OU=NA,DC=abc,DC=local",503597,,,Foster,,,,,,fgrabowski@abccorp.com,,,,,,,,,,,,,,,,Grabowski,"Portland, OR",,,,,Class A Electrician,,top,,S-1-5-21-1622704856-2119577735-116698500-1187,{c23b5b62-d51c-4ca2-9bb0-3909534eb038},Foster.Grabowski,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,0,ABC\Foster.Grabowski,,
,,Franchesca.Fontaine,,,,"Franchesca, Fontaine (Contractor)","CN=Franchesca.Fontaine,OU=Usa,OU=NA,DC=abc,DC=local",15431743,,,Franchesca,,,,,,,,,,,,,,,,,,,,,,Fontaine,,,,,,Contractor,,top,,S-1-5-21-1622704856-2119577735-116698500-1233,{aa8e6363-4919-4220-a884-2eaf257dcf35},Franchesca.Fontaine,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Franchesca.Fontaine,,
,,Franchesca.Moreles,I,,,Fran Renee Moreles,"CN=Franchesca.Moreles,OU=Usa,OU=NA,DC=abc,DC=local",763436,,,Franchesca,,,,,,fmoreles@abccorp.com,,,,,,,,,,,,,,,,Moreles,"Nashville, TN",,,,,Production Support,,top,,S-1-5-21-1622704856-2119577735-116698500-1175,{bf74b260-60a5-4f4e-83ee-1445ce1131d7},Franchesca.Moreles,513,,Normal User Account,I Shift,,,Not Set,,,,,,,,,,,0,ABC\Franchesca.Moreles,,
,,Freeman.Harbuck,,,,"Freeman, Harbuck (Contractor)","CN=Freeman.Harbuck,OU=Usa,OU=NA,DC=abc,DC=local",15435768,,,Freeman,,,,,,,,,,,,,,,,,,,,,,Harbuck,,,,,,Web Master www.Malt-O-Meal.com,,top,,S-1-5-21-1622704856-2119577735-116698500-1219,{e3f0ba4c-ef59-4f48-a2c1-c6031c432d62},Freeman.Harbuck,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Freeman.Harbuck,,
,,Genevive.Finamore,,,,"Genevive, Finamore (Contractor)","CN=Genevive.Finamore,OU=Usa,OU=NA,DC=abc,DC=local",15430975,,,Genevive,,,,,,,,,,,,,,,,,,,,,,Finamore,,,,,,Niagara Falls,,top,,S-1-5-21-1622704856-2119577735-116698500-1240,{8dc8e882-a3d0-4e06-b797-d172e616e41c},Genevive.Finamore,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Genevive.Finamore,,
,,Gilbert.Goforth,,,,"Gilbert, Goforth (Contractor)","CN=Gilbert.Goforth,OU=Usa,OU=NA,DC=abc,DC=local",15432248,,,Gilbert,,,,,,,,,,,,,,,,,,,,,,Goforth,,,,,,Contractor-Kenco,,top,,S-1-5-21-1622704856-2119577735-116698500-1212,{4ed9206e-65b5-45ed-9276-df96fd44129a},Gilbert.Goforth,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Gilbert.Goforth,,
,,Gillian.Stong,,,,"Gillian, Stong (Contractor)","CN=Gillian.Stong,OU=Usa,OU=NA,DC=abc,DC=local",15431214,,,Gillian,,,,,,,,,,,,,,,,,,,,,,Stong,,,,,,Contractor - Geodis,,top,,S-1-5-21-1622704856-2119577735-116698500-1250,{27682355-cc56-44de-a605-e7fad99255d7},Gillian.Stong,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Gillian.Stong,,
,,Grady.Bandy,I,,,Grady A Bandy,"CN=Grady.Bandy,OU=Usa,OU=NA,DC=abc,DC=local",652655,,,Grady,,,,,,gbandy@abccorp.com,,,,,,,,,,,,,,,,Bandy,"Austin, TX",,,,,Warehouse Person SLC,,top,,S-1-5-21-1622704856-2119577735-116698500-1155,{fc43fdfc-5dc1-4328-b2a4-e3c2b4c2ed91},Grady.Bandy,513,,Normal User Account,I Shift,,,Not Set,,,,,,,,,,,0,ABC\Grady.Bandy,,
,,Heath.Ashmore,,,,Heath  Ashmore,"CN=Heath.Ashmore,OU=Usa,OU=NA,DC=abc,DC=local",262302,,,Heath,,,,,,hashmore@abccorp.com,,,,,,,,,,,,,,,,Ashmore,"New York, NY",,,,,Internal Control Analyst,,top,"CN=IT Team Access,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1122,{39ecb1ca-411e-4043-abd7-a4aa7c306f0b},Heath.Ashmore,513,,Normal User Account,INFORMATION TECHNOLOGY,,,Not Set,,,,,,,,,,,0,ABC\Heath.Ashmore,,
,,Hector Mong,CREDI,,,Hector M Mong,"CN=Hector Mong,OU=Usa,OU=NA,DC=abc,DC=local",363795,,,Hector,,,,,,hmong@abccorp.com,,,,,,,,,,,,,,,,Mong,"Atlanta, GA",,,,,Credit Manager,,top,,S-1-5-21-1622704856-2119577735-116698500-1191,{0b8f0562-fb1d-47cb-9865-1aa9a3ba246f},Hector Mong,513,,Normal User Account,Credit Department,,,Not Set,,,,,,,,,,,0,ABC\Hector Mong,,
,,Hee.Gannon,DEDUC,,,Hee L Gannon,"CN=Hee.Gannon,OU=Usa,OU=NA,DC=abc,DC=local",837452,,,Hee,,,,,,hgannon@abccorp.com,,,,,,,,,,,,,,,,Gannon,"Austin, TX",,,,,Sr AR Coordinator,,top,,S-1-5-21-1622704856-2119577735-116698500-1123,{6725a9e3-ebff-44c3-bcd6-70bbfbca8159},Hee.Gannon,513,,Normal User Account,Deductions Department,,,Not Set,,,,,,,,,,,0,ABC\Hee.Gannon,,
,,Hubert.Saffell,,,,"Hubert, Saffell (Contractor)","CN=Hubert.Saffell,OU=Usa,OU=NA,DC=abc,DC=local",15431756,,,Hubert,,,,,,,,,,,,,,,,,,,,,,Saffell,,,,,,Contractor - GL2,,top,,S-1-5-21-1622704856-2119577735-116698500-1248,{1975d211-0cdc-4820-bcf0-3fd6890aa213},Hubert.Saffell,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Hubert.Saffell,,
,,Inga.Smidt,,,,"Inga, Smidt (Contractor)","CN=Inga.Smidt,OU=Usa,OU=NA,DC=abc,DC=local",15429657,,,Inga,,,,,,,,,,,,,,,,,,,,,,Smidt,,,,,,Contractor - Plant,,top,,S-1-5-21-1622704856-2119577735-116698500-1235,{cb8954a1-2370-4476-999f-6b034a189fea},Inga.Smidt,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Inga.Smidt,,
,,Iraida.Tran,,,,"Iraida, Tran (Contractor)","CN=Iraida.Tran,OU=Usa,OU=NA,DC=abc,DC=local",15431092,,,Iraida,,,,,,,,,,,,,,,,,,,,,,Tran,,,,,,Contractor - Aptean,,top,,S-1-5-21-1622704856-2119577735-116698500-1230,{719a3488-1c2e-48c5-8d8a-3fb17d385dfb},Iraida.Tran,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Iraida.Tran,,
,,Janene.Hulett,,,,"Janene, Hulett (Contractor)","CN=Janene.Hulett,OU=Usa,OU=NA,DC=abc,DC=local",15432940,,,Janene,,,,,,,,,,,,,,,,,,,,,,Hulett,,,,,,Contractor - Office,,top,,S-1-5-21-1622704856-2119577735-116698500-1244,{8a229958-a474-4159-865c-e7e5ddcf74ff},Janene.Hulett,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Janene.Hulett,,
,,Jasper.Herron,CSIN,,,Jasper F Herron,"CN=Jasper.Herron,OU=Usa,OU=NA,DC=abc,DC=local",395039,,,Jasper,,,,,,jherron@abccorp.com,,,,,,,,,,,,,,,,Herron,"Charlotte, NC",,,,,Sr Brand Manager,,top,,S-1-5-21-1622704856-2119577735-116698500-1121,{05b4ace2-12a6-46e5-8913-40c1d1ec076d},Jasper.Herron,513,,Normal User Account,Consumer Strategy&Insight,,,Not Set,,,,,,,,,,,0,ABC\Jasper.Herron,,
